seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
42;TINAMIFORMES;Tinamidae;Crypturellus tataupa;Tataupa Tinamou;tinamú tataupà;塔陶穴䳍;塔陶巴穴(共鳥);pjegavoboki tinamu;tinama tataupa;Tataupa Tinamu;Tataupatinamoe;tataupa tinamo;huittitinami;Tinamou tataupa;Tataupatinamu;Tinamo tataupa;ヒメシギダチョウ;tinamas tataupa;tataupatinamu;kusacz śniady;inhambu-chintã;tinamu-tatáupá;Скрытохвост татаупа;Crvenokljuni tinamu;tinama tataupa;Tinamú tataupá;tataupatinamo;Tataupa Tinamusu;татаупа сіроголовий;;;;;tataupa-metstinamu;Tinamou tataupa;;;Tataupa-tinamu;;;;;;;;;;;
43;TINAMIFORMES;Tinamidae;Rhynchotus rufescens;Red-winged Tinamou;tinamú d'ales vermelloses;红翅䳍;紅翅(共鳥);crvenokrili tinamu;tinama inambu;Pampashøne;Pampahoen;ruĝflugila tinamo;pampatinami;Tinamou isabelle;Rotflügeltinamu;Tinamo alirosse;アカバネシギダチョウ;raudonsparnis tinamas;rødvingetinamu;kusacz rdzawoskrzydły;inhambu-perdiz;tinamu-d'asa-ruiva;Краснокрылый тинаму;Crvenokrili tinamu;inambu vlnkovaný;Tinamú alirrojo;rostvingad tinamo;Kırmızı Kanatlı Tinamu;інамбу рудошиїй;;;;;pampatinamu;Tinamou isabelle;;;pampatinamu;;;;;;;;;;;
44;TINAMIFORMES;Tinamidae;Rhynchotus maculicollis;Huayco Tinamou;tinamú colltacat;哨音红翅䳍;懷科紅翅(共鳥);;tinama skvrnitokrká;Huayco Tinamu;Huaycotinamoe;huajka tinamo;laaksotinami;Tinamou huayco;Streifenhalstinamu;Tinamo degli huayco;クビワアカバネシギダチョウ;;flekkhalstinamu;kusacz plamkoszyi;inhambu-uaicu;tinamu-boliviano;Пестрошейный тинаму;Bujični tinamu;inambu horský;Tinamú huayco;huaycotinamo;Boynu Benekli Tinamu;вайпу;;;;;lääne-pampatinamu;Tinamou huayco;;;;;;;;;;;;;;
45;TINAMIFORMES;Tinamidae;Nothoprocta taczanowskii;Taczanowski's Tinamou;tinamú de Taczanowski;高山斑䳍;高山鴇尾(共鳥);krivokljuni tinamu;tinama Taczanowského;Stor Bjergtinamu;Taczanowski's Tinamoe;taĉanovskia tinamo;peruntinami;Tinamou de Taczanowski;Taczanowskitinamu;Tinamo di Taczanowski;ハシナガシギダチョウ;Tačanovskio stepinis tinamas;perutinamu;kusacz Taczanowskiego;inhambu-peruano-azulado;tinamu-de-taczanowski;Хунинский тинаму;Tačanovskijev tinamu;inambu pasienkový;Tinamú de Taczanowski;perutinamo;Taczanowski Tinamusu;інамбу перуанський;;;;;peruu mägitinamu;Tinamou de Taczanowski;;;Taczanowski-tinamu;;;;;;;;;;;
46;TINAMIFORMES;Tinamidae;Nothoprocta ornata;Ornate Tinamou;tinamú ornat;丽色斑䳍;麗色鴇尾(共鳥);šarenokrili tinamu;tinama zdobená;Bjergtinamu;Pisaccatinamoe;ornamita tinamo;pyytinami;Tinamou orné;Pisaccatinamu;Tinamo ornato;ゴマダラシギダチョウ;puošnusis stepinis tinamas;fjelltinamu;kusacz ozdobny;inhambu-adornado;tinamu-adornado;Украшенный тинаму;Ukrašeni tinamu;inambu ozdobný;Tinamú pisacca;tofstinamo;Çil Tinamusu;інамбу рудогрудий;;;;;põld-mägitinamu;Tinamou orné;;;;;;;;;;;;;;
47;TINAMIFORMES;Tinamidae;Nothoprocta perdicaria;Chilean Tinamou;tinamú de Xile;智利斑䳍;智利鴇尾(共鳥);čilski tinamu;tinama koroptví;Chiletinamu;Chileense Tinamoe;ĉilia tinamo;chilentinami;Tinamou perdrix;Chiletinamu;Tinamo del Cile;チリシギダチョウ;čilinis stepinis tinamas;chiletinamu;kusacz chilijski;inhambu-chileno;tinamu-chileno;Чилийский тинаму;Čileanski tinamu;inambu poľný;Tinamú chileno;chiletinamo;Şili Tinamusu;інамбу чилійський;;;;;tšiili mägitinamu;Tinamou perdrix;;;chilei tinamu;;;;;;;;;;;
48;TINAMIFORMES;Tinamidae;Nothoprocta cinerascens;Brushland Tinamou;tinamú feréstec;灰斑䳍;灰鴇尾(共鳥);pjegavoprsi tinamu;tinama pokřovní;Mørkvinget Tinamu;Cordobatinamoe;vepra tinamo;pensastinami;Tinamou sauvageon;Cordobatinamu;Tinamo di macchia;アレチシギダチョウ;krūmyninis stepinis tinamas;busktinamu;kusacz zaroślowy;inhambu-do-chaco;tinamu-do-mato;Пампасный тинаму;Žbunjački tinamu;inambu krovinový;Tinamú montaraz;busktinamo;Keklik Tinamusu;інамбу чагарниковий;;;;;viir-mägitinamu;Tinamou sauvageon;;;;;;;;;;;;;;
49;TINAMIFORMES;Tinamidae;Nothoprocta pentlandii;Andean Tinamou;tinamú dels Andes;安第斯斑䳍;安地斯鴇尾(共鳥);andski tinamu;tinama andská;Andestinamu;Andestinamoe;anda tinamo;andientinami;Tinamou des Andes;Andentinamu;Tinamo delle Ande;アンデスシギダチョウ;andinis stepinis tinamas;andestinamu;kusacz andyjski;inhambu-andino;tinamu-andino;Андский тинаму;Andski tinamu;inambu andský;Tinamú andino;andinsk tinamo;And Tinamusu;інамбу андійський;;;;;redu-mägitinamu;Tinamou des Andes;;;;;;;;;;;;;;
50;TINAMIFORMES;Tinamidae;Nothoprocta curvirostris;Curve-billed Tinamou;tinamú de bec corbat;弯嘴斑䳍;彎嘴鴇尾(共鳥);crvenoprsi tinamu;tinama křivozobá;Seglnæbstinamu;Krombektinamoe;kurbabeka tinamo;käyränokkatinami;Tinamou curvirostre;Krummschnabeltinamu;Tinamo beccocurvo;ハシボソシギダチョウ;kreivasnapis stepinis tinamas;krumnebbtinamu;kusacz krzywodzioby;inhambu-do-páramo;tinamu-do-páramo;Кривоклювый тинаму;Krivokljuni tinamu;inambu krivozobý;Tinamú del páramo;bågnäbbad tinamo;Eğri Gagalı Tinamu;інамбу криводзьобий;;;;;paramo-mägitinamu;Tinamou curvirostre;;;;;;;;;;;;;;
51;TINAMIFORMES;Tinamidae;Nothura boraquira;White-bellied Nothura;tinamú ventreblanc;白腹拟䳍;白腹擬(共鳥);prugastovrati tinamu;tinama pastvinná;Hvidbuget Vagteltinamu;Witbuiknothura;blankventra tinamo;isoviiriäistinami;Tinamou boraquira;Weißbauchtinamu;Tinamo panciabianca;ウズラシギダチョウ;baltapilvė notura;hvitøyetinamu;kusacz białobrzuchy;codorna-do-nordeste;tinamu-de-barriga-branca;Белобрюхая нотура;Belotrbi notura tinamu;inambu svetlobruchý;Tinamú ventriblanco;vitbukig tinamo;Ak Karınlı Tinamu;нотура білочеревий;;;;;kaatinga-triiptinamu;Tinamou boraquira;;;;;;;;;;;;;;
52;TINAMIFORMES;Tinamidae;Nothura minor;Lesser Nothura;tinamú menor;小拟䳍;小擬(共鳥);pjegavovrati tinamu;tinama menší;Vagteltinamu;Kleine Nothura;minora tinamo;viiriäistinami;Petit Tinamou;Wachteltinamu;Tinamo minore;ヒメウズラシギダチョウ;mažoji notura;dvergtinamu;kusacz mały;codorna-mineira;tinamu-mineiro;Малая нотура;Mali notura tinamu;inambu malý;Tinamú menor;småtinamo;Küçük Notura Tinamusu;нотура-крихітка;;;;;serrado-triiptinamu;Petit Tinamou;;;;;;;;;;;;;;
53;TINAMIFORMES;Tinamidae;Nothura darwinii;Darwin's Nothura;tinamú de Darwin;达尔文拟䳍;達爾文擬(共鳥);darwinov tinamu;tinama Darwinova;Andes Vagteltinamu;Darwins Nothura;darvina tinamo;darwinintinami;Tinamou de Darwin;Darwintinamu;Tinamo di Darwin;ダーウィンシギダチョウ;Darvino notura;darwintinamu;kusacz Darwina;codorna-pálida;tinamu-de-darwin;Дарвинова нотура;Darvinov notura tinamu;inambu pustatinný;Tinamú de Darwin;örttinamo;Darwin Notura Tinamusu;нотура Дарвіна;;;;;nõlva-triiptinamu;Tinamou de Darwin;;;;;;;;;;;;;;
54;TINAMIFORMES;Tinamidae;Nothura maculosa;Spotted Nothura;tinamú tacat;斑拟䳍;斑擬(共鳥);pjegavokrili tinamu;tinama skvrnitá;Plettet Vagteltinamu;Gevlekte Nothura;makula tinamo;viirutinami;Tinamou tacheté;Fleckentinamu;Tinamo macchiato;マダラシギダチョウ;dėmėtoji notura;flekktinamu;kusacz kreskowany;codorna-amarela;tinamu-malhado;Пятнистая нотура;Pegavi notura tinamu;inambu čiarkový;Tinamú manchado;fläckig tinamo;Benekli Notura Tinamusu;нотура строкатий;;;;;nurm-triiptinamu;Tinamou tacheté;;;foltos tinamu;;;;;;;;;;;
55;TINAMIFORMES;Tinamidae;Taoniscus nanus;Dwarf Tinamou;tinamú nan;侏䳍;侏(共鳥);patuljasti tinamu;tinama drobná;Dværgtinamu;Dwergtinamoe;nana tinamo;kääpiötinami;Tinamou carapé;Pfauentinamu;Tinamo nano;マメシギダチョウ;nykštukinis tinamas;pygmétinamu;kusacz karłowaty;codorna-carapé;tinamu-anão;Карликовый тинаму;Patuljasti tinamu;inambu krpatý;Tinamú enano;dvärgtinamo;Cüce Tinamu;інамбу карликовий;;;;;värbtinamu;Tinamou carapé;;;;;;;;;;;;;;
56;TINAMIFORMES;Tinamidae;Eudromia elegans;Elegant Crested Tinamou;tinamú crestat elegant;凤头䳍;鳳頭(共鳥);kukmasti tinamu;tinama argentinská;Toptinamu;Kuiftinamoe;eleganta krestotinamo;töyhtötinami;Tinamou élégant;Perltinamu;Martinetta dal ciuffo;カンムリシギダチョウ;pilkasis kuoduotasis tinamas;sørtopptinamu;kusacz pampasowy;martineta-elegante;tinamu-elegante;Хохлатый тинаму;Kitnjasti ćubasti tinamu;inambu chochlatý;Martineta común;prakttinamo;Tepeli Tinamu;інамбу чубатий;;;;;tutt-tinamu;Tinamou élégant;;;gyöngyös tinamu;;;;;;;;;;;
57;TINAMIFORMES;Tinamidae;Eudromia formosa;Quebracho Crested Tinamou;tinamú crestat del Chaco;棕凤头䳍;麗色鳳頭(共鳥);troprsti tinamu;tinama chocholatá;Quebracho Toptinamu;Quebrachotinamoe;kebraĉa krestotinamo;suomutöyhtötinami;Tinamou superbe;Schmucktinamu;Martinetta del quebracho;ミコシギダチョウ;gražusis kuoduotasis tinamas;nordtopptinamu;kusacz leśny;martineta-do-chaco;tinamu-do-chaco;Великолепный тинаму;Savanski ćubasti tinamu;inambu hájový;Martineta chaqueña;quebrachotinamo;Tepeli Kızıl Tinamu;інамбу ошатний;;;;;chaco tutt-tinamu;Tinamou superbe;;;;;;;;;;;;;;
58;TINAMIFORMES;Tinamidae;Tinamotis pentlandii;Puna Tinamou;tinamú de la Puna;北山䳍;普納高原(共鳥);punski tinamu;tinama náhorní;Punatinamu;Punatinamoe;punaa tinamo;punantinami;Tinamou quioula;Punatinamu;Tinamo della puna;ミツユビシギダチョウ;paprastasis tinamas;punatinamu;kusoń andyjski;quiúla-andina;tinamu-da-puna;Тинаму пуны;Punski tinamu;inambu veľký;Kiula andina;punatinamo;Puna Tinamusu;інамбу червоногузий;;;;;puunatinamu;Tinamou quioula;;;;;;;;;;;;;;
59;TINAMIFORMES;Tinamidae;Tinamotis ingoufi;Patagonian Tinamou;tinamú de la Patagònia;南山䳍;巴塔哥尼亞高原(共鳥);patagonski tinamu;tinama patagonská;Patagonsk Tinamu;Patagonische Tinamoe;patagonia tinamo;patagoniantinami;Tinamou de Patagonie;Patagonientinamu;Tinamo di Patagonia;パタゴニアシギダチョウ;patagoninis tinamas;patagoniatinamu;kusoń patagoński;quiúla-patagónica;tinamu-patagónico;Патагонский тинаму;Patagonski tinamu;inambu stepný;Kiula patagona;patagonientinamo;Boyalı Tinamu;інамбу патагонський;;;;;patagoonia tinamu;Tinamou de Patagonie;;;;;;;;;;;;;;
60;ANSERIFORMES;Anhimidae;Anhima cornuta;Horned Screamer;txajà banyut;角叫鸭;角叫鴨;rogati pastiraš;kamiš růžkatý;Anhima;Anioema;korna kriulo;sarviromisko;Kamichi cornu;Hornwehrvogel;Kaimichi cornuto;ツノサケビドリ;raguotoji pelamedėja;horngjeterfugl;skrzydłoszpon rogaty;anhuma;anhuma-cornuda;Рогатая паламедея;Rogata kreštalica;anhima rohatá;Chajá añuma;hornvärnfågel;Boynuzlu Figankazı;паламедея;;;;;sarvik-ogatiib (sarvik-tšahha);Kamichi cornu;;;egyszarvú csája;;;;;;;;;;;
61;ANSERIFORMES;Anhimidae;Chauna chavaria;Northern Screamer;txajà collnegre;黑颈冠叫鸭;黑頸叫鴨〔北方叫鴨〕;crnovrati pastiraš;čája bělolící;Toppet Chaja;Witwanghoenderkoet;norda kriulo;kolumbianromisko;Kamichi chavaria;Weißwangen-Wehrvogel;Kaimichi settentrionale;クロエリサケビドリ;juodakaklė pelamedėja;svarthalsgjeterfugl;skrzydłoszpon czarnoszyi;tachã-de-cara-branca;anhuma-do-norte;Черношейная паламедея;Severna kreštalica;čaja chochlatá;Chajá chicagüire;svarthalsad värnfågel;Ak Yüzlü Figankazı;чайя колумбійська;;;;;tutt-ogatiib (tutt-tšahha);Kamichi chavaria;;;fehérarcú csája;;;;;;;;;;;
62;ANSERIFORMES;Anhimidae;Chauna torquata;Southern Screamer;txajà emplomallat;冠叫鸭;冠叫鴨〔南方叫鴨〕;ogrličasti pastiraš;čája obojková;Sorthalset Chaja;Kuifhoenderkoet;suda kriulo;töyhtöromisko;Kamichi à collier;Halsband-Wehrvogel;Kaimichi meridionale;カンムリサケビドリ;kuoduotoji pelamedėja;kragegjeterfugl;skrzydłoszpon obrożny;tachã-cinzenta;anhuma-do-sul;Хохлатая паламедея;Južna kreštalica;čaja obojková;Chajá común;tofsvärnfågel;Kolyeli Figankazı;чайя аргентинська;;;;;kaelus-ogatiib (kaelustšahha);Kamichi à collier;;;örvös csája;;;;;;;;;;;
63;ANSERIFORMES;Anseranatidae;Anseranas semipalmata;Magpie Goose;oca garsera;鹊雁;鵲鵝;dugonoga guska;husovec strakatý;Skadegås;Ekstergans;piga ansero;puuhanhi;Canaroie semipalmée;Spaltfußgans;Oca gazza;カササギガン;ančiažąsė;skjæregås;bezpłetwiec;ganso-alvinegro;ganso-pega;Полулапчатый гусь;Svrakasta guska;husiarka strakatá;Ganso urraca;skatgås;Saksağankazı;урако;;;;;harakhani;Canaroie semipalmée;;;ujjas lúd;;Boha wasur;;;;;;;;;
64;ANSERIFORMES;Anatidae;Dendrocygna viduata;White-faced Whistling Duck;ànec arbori carablanc;白脸树鸭;白臉樹鴨;bjelolica utva;husička vdovka;Nonnetræand;Witwangfluiteend;blankmaska arbanaso;naamioviheltäjäsorsa;Dendrocygne veuf;Witwenpfeifgans;Dendrocigna facciabianca;シロガオリュウキュウガモ;baltaveidė medžąsė;maskeplystreand;drzewica białolica;irerê;dendrocisne-de-faces-brancas;Белолицая древесная утка;Belolika patka pištalica;stromárka bielohlavá;Suirirí cariblanco;vithuvad visseland;Ak Yüzlü Islıkçı Ördek;свистач білоголовий;Nonnetjie-eend;;;;valgepõsk-vilepart;Dendrocygne veuf;;אווזון לבן-פנים;apáca-fütyülőlúd;Randablístra;;;baltvaigu svilpējzoss;;;Luhkkanjurgoduoršu;;;vdovski žvižgač;
65;ANSERIFORMES;Anatidae;Dendrocygna autumnalis;Black-bellied Whistling Duck;ànec arbori bec-roig;黑腹树鸭;紅嘴樹鴨;crnotrba utva;husička černobřichá;Sortbuget Træand;Zwartbuikfluiteend;nigraventra arbanaso;punaviheltäjäsorsa;Dendrocygne à ventre noir;Rotschnabel-Pfeifgans;Dendrocigna pancianera;アカハシリュウキュウガモ;raudonsnapė medžąsė;rødnebbplystreand;drzewica czarnobrzucha;marreca-cabocla;dendrocisne-de-barriga-preta;Красноклювая древесная утка;Crnotrba patka pištalica;stromárka sivokrká;Suirirí piquirrojo;svartbukig visseland;Kara Karınlı Islıkçı Ördek;свистач червонодзьобий;;;;Чернокорема дървесна патица;punanokk-vilepart;Dendrocygne à ventre noir;;אווזון שחור-בטן;piroscsőrű fütyülőlúd;;;;sarkanknābja svilpējzoss;;;;;;;
66;ANSERIFORMES;Anatidae;Dendrocygna guttata;Spotted Whistling Duck;ànec arbori clapejat;细斑树鸭;細斑樹鴨;bjelopjegava utva;husička tečkovaná;Plettet Træand;Gevlekte Fluiteend;makula arbanaso;täpläviheltäjäsorsa;Dendrocygne tacheté;Tüpfelpfeifgans;Dendrocigna macchiata;シラボシリュウキュウガモ;dėmėtoji medžąsė;perleplystreand;drzewica plamista;marreca-malhada;dendrocisne-malhado;Пятнистая древесная утка;Pegava patka pištalica;stromárka bodkavá;Suirirí moteado;fläckig visseland;Benekli Islıkçı Ördek;свистач плямистобокий;;;;;täpik-vilepart;Dendrocygne tacheté;;;gyöngyös fütyülőlúd;;Belibis totol;;;;;;;;;
67;ANSERIFORMES;Anatidae;Dendrocygna arborea;West Indian Whistling Duck;ànec arbori de les Antilles;西印度树鸭;黑嘴樹鴨;antilska utva;husička stromová;Cubatræand;West-Indische Fluiteend;antila arbanaso;karibianviheltäjäsorsa;Dendrocygne des Antilles;Kubapfeifgans;Dendrocigna delle Indie Occidentali;ハシグロリュウキュウガモ;kubinė medžąsė;palmeplystreand;drzewica karaibska;marreca-das-antilhas;dendrocisne-arbóreo;Кубинская древесная утка;Karipska patka pištalica;stromárka veľká;Suirirí yaguaza;karibvisseland;Karayip Islıkçı Ördeği;свистач кубинський;;;;;palmi-vilepart;Dendrocygne des Antilles;;;pálmafütyülőlúd;;;;Kubas svilpējzoss;;;;;;;
68;ANSERIFORMES;Anatidae;Dendrocygna bicolor;Fulvous Whistling Duck;ànec arbori bicolor;茶色树鸭;草黃樹鴨;smeđa utva;husička bažinná;Okkertræand;Rosse Fluiteend;rufa arbanaso;ruskoviheltäjäsorsa;Dendrocygne fauve;Gelbbrust-Pfeifgans;Dendrocigna fulva;アカリュウキュウガモ;dvispalvė medžąsė;brunplystreand;drzewica dwubarwna;marreca-caneleira;dendrocisne-bicolor;Рыжая древесная утка;Žuta patka pištalica;stromárka hrdzavá;Suirirí bicolor;brun visseland;Kahverengi Islıkçı Ördek;свистач рудий;Fluiteend;بطة صافرة بنية;;Двуцветна дървесна патица;ruuge-vilepart;Dendrocygne fauve;;אווזון חלודי;sujtásos fütyülőlúd;Barkarblístra;;;rūsganā svilpējzoss;;വലിയ ചൂളൻ എരണ്ട;Ruškesnjurgoduoršu;;;rumeni žvižgač;
69;ANSERIFORMES;Anatidae;Dendrocygna eytoni;Plumed Whistling Duck;ànec arbori d'Eyton;尖羽树鸭;尖羽樹鴨;australska utva;husička australská;Australsk Træand;Australische Fluiteend;pluma arbanaso;sirppiviheltäjäsorsa;Dendrocygne d’Eyton;Gelbfuß-Pfeifgans;Dendrocigna falcata;カザリリュウキュウガモ;Eitono medžąsė;prydplystreand;drzewica australijska;marreca-emplumada;dendrocisne-australiano;Розовоногая древесная утка;Cvetnokrila patka pištalica;stromárka kosierkavá;Suirirí australiano;plymvisseland;Etekli Islıkçı Ördek;свистач австралійський;;;;;rohtla-vilepart;Dendrocygne d'Eyton;;;sarlós fütyülőlúd;;Belibis rumbai;;;;;;;;;
70;ANSERIFORMES;Anatidae;Dendrocygna arcuata;Wandering Whistling Duck;ànec arbori de casquet;斑胸树鸭;胸斑樹鴨;tamnokapa utva;husička stěhovavá;Rustfarvet Træand;Zwervende Fluiteend;migra arbanaso;suomuviheltäjäsorsa;Dendrocygne à lunules;Wanderpfeifgans;Dendrocigna errante;オオリュウキュウガモ;švilpiančioji medžąsė;hetteplystreand;drzewica wędrowna;marreca-errante;dendrocisne-nómada;Странствующая древесная утка;Australijska patka pištalica;stromárka sťahovavá;Suirirí capirotado;vandringsvisseland;Gezgin Islıkçı Ördek;свистач філіпінський;;;;;roostekõht-vilepart;Dendrocygne à lunules;;;vándorfütyülőlúd;;Belibis kembang;;;;;;;;;
71;ANSERIFORMES;Anatidae;Dendrocygna javanica;Lesser Whistling Duck;ànec arbori menut;栗树鸭;樹鴨〔栗樹鴨〕;indijska utva;husička malá;Lille Træand;Indische Fluiteend;eta arbanaso;intianviheltäjäsorsa;Dendrocygne siffleur;Javapfeifgans;Dendrocigna indiana;リュウキュウガモ;indinė medžąsė;småplystreand;drzewica indyjska;marreca-oriental;dendrocisne-javanês;Малая древесная утка;Mala patka pištalica;stromárka malá;Suirirí de Java;orientvisseland;Cava Islıkçı Ördeği;свистач індійський;;بطة صافرة صغيرة;;;väike-vilepart;Dendrocygne siffleur;;אווזון קטן;bengáli fütyülőlúd;Roðablístra;Belibis polos;;mazā svilpējzoss;;ചൂളൻ എരണ്ട;Indianjurgoduoršu;اردک سوت ‌زن هندي;;mali žvižgač;เป็ดแดง
72;ANSERIFORMES;Anatidae;Thalassornis leuconotus;White-backed Duck;ànec cabusset;白背鸭;白背鴨;mala utva;kačenka bělohřbetá;Lappedykkerand;Witrugeend;blankdorsa anaso;lampisorsa;Dendrocygne à dos blanc;Weißrücken-Pfeifgans;Anatra dorsobianco;コシジロガモ;baltanugarė antis;hvitryggand;pokraczka;pato-de-dorso-branco;pato-de-dorso-branco;Белоспинная утка;Beloleđa patka;stromárka jarabá;Pato dorsiblanco;vitryggig and;Ak Sırtlı Ördek;стромярка;Witrugeend;;;;püttpart;Dendrocygne à dos blanc;;;vöcsökréce;;;;;;;;;;;
73;ANSERIFORMES;Anatidae;Cereopsis novaehollandiae;Cape Barren Goose;oca cendrosa;澳洲灰雁;臘嘴雁;žutokljuna guska;husa kuří;Hønsegås;Hoendergans;cindra ansero;tuhkahanhi;Céréopse cendré;Hühnergans;Oca di Cape Barren;ロウバシガン;vištinė žąsis;hønsegås;kapodziób;ganso-cinzento;ganso-cinzento-australiano;Куриный гусь;Tasmanijska guska;zemnárka krátkozobá;Ganso cenizo;hönsgås;Sereo Kazı;гуска тасманійська;;;;;tuhkhani;Céréopse cendré;;;tyúklúd;;;;;;;;;;;
74;ANSERIFORMES;Anatidae;Branta bernicla;Brant Goose;oca de collar;黑雁;黑雁;grivasta guska;berneška tmavá;Knortegås;Rotgans;kolringa ansero;sepelhanhi;Bernache cravant;Ringelgans;Oca colombaccio;コクガン;paprastoji berniklė;ringgås;bernikla obrożna;ganso-de-faces-pretas;ganso-de-faces-pretas;Чёрная казарка;Grivasta guska;bernikla tmavá;Barnacla carinegra;prutgås;Yosun Kazı;казарка чорна;;;Чорная казарка;Черна гъска;mustlagle;Bernache cravant;Δαχτυλιδόχηνα;ברנטה כהה;örvös lúd;Margæs;;흑기러기;melngalvas zoss;;;Gierdočuonjá;غاز گردن‌ سیاه;Gâscă neagră;grivasta gos;
75;ANSERIFORMES;Anatidae;Branta ruficollis;Red-breasted Goose;oca de coll roig;红胸黑雁;紅胸黑雁;crvenovrata guska;berneška rudokrká;Rødhalset Gås;Roodhalsgans;ruĝbrusta ansero;punakaulahanhi;Bernache à cou roux;Rothalsgans;Oca collorosso;アオガン;rudakaklė berniklė;rødhalsgås;bernikla rdzawoszyja;ganso-de-peito-ruivo;ganso-de-peito-ruivo;Краснозобая казарка;Guska crvenovoljka;bernikla červenokrká;Barnacla cuelliroja;rödhalsad gås;Sibirya Kazı;казарка червоновола;;اوزة حمراء الصدر;Чырвонаваллёвая казарка;Червеногуша гъска;punakael-lagle;Bernache à cou roux;Κοκκινόχηνα;ברנטה אדומת-חזה;vörösnyakú lúd;Fagurgæs;;붉은가슴기러기;sarkankakla zoss;црвенограда гуска;;Ruksesčeabečuonjá;عروس غاز;Gâscă cu gât roşu;rdečevrata gos;
